player_id,position_id,number,captain,injured,minutes,appearences,lineups,substitute_in,substitute_out,substitutes_on_bench,goals,owngoals,assists,saves,inside_box_saves,dispossesed,interceptions,yellowcards,yellowred,redcards,tackles,blocks,hit_post,cleansheets,rating,fouls,crosses,dribbles,duels,passes,penalties,shots
129820,1,1,0,False,450,5,5,0,0,0,0,,0,5,2,,,0,0,0,,,,3,6.72,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 2, 'won': 2}","{'total': 77, 'accuracy': 87, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
96208,2,13,0,False,1,1,0,1,0,5,0,,0,,,,,0,0,0,,,,1,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': 1, 'won': 1}","{'total': 3, 'accuracy': 100, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
159208,2,14,0,False,90,1,1,0,0,1,0,,0,,,,1,0,0,0,1,,,0,6.80,"{'committed': None, 'drawn': 1}","{'total': 1, 'accurate': None}","{'attempts': 1, 'success': 1, 'dribbled_past': 1}","{'total': 5, 'won': 4}","{'total': 53, 'accuracy': 92, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
95792,2,2,2,False,450,5,5,0,0,0,1,,0,,,,5,0,0,0,4,5,1,3,7.40,"{'committed': 2, 'drawn': 3}","{'total': None, 'accurate': None}","{'attempts': 1, 'success': None, 'dribbled_past': 1}","{'total': 30, 'won': 18}","{'total': 295, 'accuracy': 93, 'key_passes': 1}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 7, 'shots_on_target': 1, 'shots_off_target': None}"
159700,3,5,0,False,330,4,4,0,1,0,0,,0,,,,6,2,0,0,10,1,,3,7.40,"{'committed': 3, 'drawn': 2}","{'total': 3, 'accurate': 1}","{'attempts': 7, 'success': 6, 'dribbled_past': 7}","{'total': 57, 'won': 34}","{'total': 266, 'accuracy': 87, 'key_passes': 5}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 4, 'shots_on_target': 2, 'shots_off_target': None}"
1461,4,20,0,False,81,4,0,4,0,5,1,,0,,,,,0,0,0,2,,,2,6.93,"{'committed': 2, 'drawn': 1}","{'total': None, 'accurate': None}","{'attempts': 2, 'success': 1, 'dribbled_past': None}","{'total': 21, 'won': 11}","{'total': 42, 'accuracy': 74, 'key_passes': 2}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 7, 'shots_on_target': 2, 'shots_off_target': None}"
186320,4,10,0,False,450,5,5,0,0,0,2,,1,,,,,1,0,0,3,1,,3,7.94,"{'committed': 4, 'drawn': 26}","{'total': 33, 'accurate': 10}","{'attempts': 39, 'success': 22, 'dribbled_past': 2}","{'total': 110, 'won': 54}","{'total': 250, 'accuracy': 84, 'key_passes': 23}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': 26, 'shots_on_target': 13, 'shots_off_target': None}"
159142,1,23,0,False,,,,,,5,,,,,,,,,,,,,,,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
205411,3,18,0,False,,,,,,,,,,,,,,,,,,,,,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
23977,1,16,0,False,,,,,,5,,,,,,,,,,,,,,,,"{'committed': None, 'drawn': None}","{'total': None, 'accurate': None}","{'attempts': None, 'success': None, 'dribbled_past': None}","{'total': None, 'won': None}","{'total': None, 'accuracy': None, 'key_passes': None}","{'won': None, 'scores': None, 'missed': None, 'committed': None, 'saves': None}","{'shots_total': None, 'shots_on_target': None, 'shots_off_target': None}"
