Country,PS,Wins,Games,Stage
Brazil,37495.502502875,3,7,1
Belgium,41047.91358186667,4,5,1
Argentina,41036.45625568181,6,7,1
France,39897.1687089,3,5,1
England,39749.405772972976,0,3,0
Italy,40169.042561227274,1,3,0
Spain,39867.64433846,1,3,0
Netherlands,39370.26117018966,6,7,1
Portugal,38917.40819469231,1,3,0
Denmark,38917.40819469231,0,0,0
Germany,39704.944065506854,6,7,1
Croatia,39925.94550710127,1,3,0
Mexico,39444.258513551744,2,4,1
Uruguay,39453.93151546317,2,4,1
Switzerland,39644.709257524286,2,4,1
United States,39697.440625837844,1,4,1
Colombia,39512.19365128206,4,5,1
Senegal,39512.19365128206,0,0,0
Wales,39512.19365128206,0,0,0
Iran,39318.90876740984,0,3,0
Serbia,39318.90876740984,0,0,0
Morocco,39318.90876740984,0,0,0
Peru,39318.90876740984,0,0,0
Japan,38866.265640558144,0,3,0
Sweden,38866.265640558144,0,0,0
Poland,38866.265640558144,0,0,0
Hungary,38866.265640558144,0,0,0
Ecuador,38576.20760267647,1,3,0
Russia,38691.43230907746,0,3,0
Australia,38845.62856186486,0,3,0
