id,league_id,season_id,stage_id,round_id,group_id,aggregate_id,venue_id,referee_id,localteam_id,visitorteam_id,winner_team_id,weather_report,commentaries,attendance,pitch,details,neutral_venue,winning_odds_calculated,formations,scores,time,coaches,standings,assistants,leg,colors,deleted,is_placeholder,stage,competitive
1107857,732,5796,12896,,,,392,18783,18647,18660,18660,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-1', 'ft_score': '0-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-07-04 16:00:00', 'date': '2014-07-04', 'time': '16:00:00', 'timestamp': 1404489600, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 18423, 'second_assistant_id': 18342, 'fourth_official_id': 21401}",1/1,,False,False,1,1
1107866,732,5796,12896,,,,8332,42253,18704,18720,18704,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '1-0', 'ft_score': '2-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-07-04 20:00:00', 'date': '2014-07-04', 'time': '20:00:00', 'timestamp': 1404504000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 15713, 'second_assistant_id': 15300, 'fourth_official_id': 16860}",1/1,,False,False,1,1
1107877,732,5796,12896,,,,10536,42256,18644,18743,18644,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '1-0', 'ft_score': '1-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-07-05 16:00:00', 'date': '2014-07-05', 'time': '16:00:00', 'timestamp': 1404576000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 70182, 'second_assistant_id': 70174, 'fourth_official_id': None}",1/1,,False,False,1,1
1107886,732,5796,12896,,,,10488,17667,18694,18598,18694,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 0, 'localteam_pen_score': 4, 'visitorteam_pen_score': 3, 'ht_score': '0-0', 'ft_score': '0-0', 'et_score': '0-0', 'ps_score': '4-3'}","{'status': 'FT', 'starting_at': {'date_time': '2014-07-05 20:00:00', 'date': '2014-07-05', 'time': '20:00:00', 'timestamp': 1404590400, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': 30, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 17668, 'second_assistant_id': 28651, 'fourth_official_id': None}",1/1,,False,False,1,1
1107896,732,5796,12898,,,,1972,,18704,18660,18660,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 7, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-5', 'ft_score': '1-7', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-07-08 20:00:00', 'date': '2014-07-08', 'time': '20:00:00', 'timestamp': 1404849600, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 12690, 'second_assistant_id': 12688, 'fourth_official_id': 25228}",1/1,,False,False,1,0
1107906,732,5796,12898,,,,10494,14516,18694,18644,18644,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 0, 'localteam_pen_score': 2, 'visitorteam_pen_score': 4, 'ht_score': '0-0', 'ft_score': '0-0', 'et_score': '0-0', 'ps_score': '2-4'}","{'status': 'FT_PEN', 'starting_at': {'date_time': '2014-07-09 20:00:00', 'date': '2014-07-09', 'time': '20:00:00', 'timestamp': 1404936000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': 30, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 12806, 'second_assistant_id': 12882, 'fourth_official_id': 21401}",1/1,,False,False,1,1
1107916,732,5796,12899,,,,10536,,18704,18694,18694,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 3, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-2', 'ft_score': '0-3', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-07-12 20:00:00', 'date': '2014-07-12', 'time': '20:00:00', 'timestamp': 1405195200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 30466, 'second_assistant_id': 15783, 'fourth_official_id': 25467}",1/1,,False,False,1,0
1107927,732,5796,12900,,,,392,42256,18660,18644,18660,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 0, 'localteam_pen_score': 0, 'visitorteam_pen_score': 0, 'ht_score': '0-0', 'ft_score': '0-0', 'et_score': '1-0', 'ps_score': None}","{'status': 'AET', 'starting_at': {'date_time': '2014-07-13 19:00:00', 'date': '2014-07-13', 'time': '19:00:00', 'timestamp': 1405278000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': 30, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 70182, 'second_assistant_id': 70174, 'fourth_official_id': 67232}",1/1,,False,False,1,1
1108097,732,5796,12917,124723,246396,,10494,25467,18704,18588,18704,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 3, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '1-1', 'ft_score': '3-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-12 20:00:00', 'date': '2014-06-12', 'time': '20:00:00', 'timestamp': 1402603200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 18896, 'second_assistant_id': 18182, 'fourth_official_id': 23415}",1/1,,False,False,0,0
1108108,732,5796,12917,124723,246396,,4986,14905,18576,18780,18576,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-0', 'ft_score': '1-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-13 16:00:00', 'date': '2014-06-13', 'time': '16:00:00', 'timestamp': 1402675200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 14310, 'second_assistant_id': 20175, 'fourth_official_id': 31508}",1/1,,False,False,0,1
